País de residencia;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Reino Unido;Dato base;Gasto total;2023M12;1.091,47
Reino Unido;Dato base;Gasto total;2023M11;1.067,86
Reino Unido;Dato base;Gasto total;2023M10;1.927,88
Reino Unido;Dato base;Gasto total;2023M09;2.246,00
Reino Unido;Dato base;Gasto total;2023M08;2.713,63
Reino Unido;Dato base;Gasto total;2023M07;2.582,58
Reino Unido;Dato base;Gasto total;2023M06;2.182,21
Reino Unido;Dato base;Gasto total;2023M05;1.891,20
Reino Unido;Dato base;Gasto total;2023M04;1.346,35
Reino Unido;Dato base;Gasto total;2023M03;1.158,88
Reino Unido;Dato base;Gasto total;2023M02;851,81
Reino Unido;Dato base;Gasto total;2023M01;845,83
Reino Unido;Dato base;Gasto medio por persona;2023M12;1.196
Reino Unido;Dato base;Gasto medio por persona;2023M11;1.125
Reino Unido;Dato base;Gasto medio por persona;2023M10;1.127
Reino Unido;Dato base;Gasto medio por persona;2023M09;1.156
Reino Unido;Dato base;Gasto medio por persona;2023M08;1.332
Reino Unido;Dato base;Gasto medio por persona;2023M07;1.293
Reino Unido;Dato base;Gasto medio por persona;2023M06;1.109
Reino Unido;Dato base;Gasto medio por persona;2023M05;1.045
Reino Unido;Dato base;Gasto medio por persona;2023M04;997
Reino Unido;Dato base;Gasto medio por persona;2023M03;1.094
Reino Unido;Dato base;Gasto medio por persona;2023M02;1.090
Reino Unido;Dato base;Gasto medio por persona;2023M01;1.140
Reino Unido;Dato base;Gasto medio diario por persona;2023M12;151
Reino Unido;Dato base;Gasto medio diario por persona;2023M11;166
Reino Unido;Dato base;Gasto medio diario por persona;2023M10;170
Reino Unido;Dato base;Gasto medio diario por persona;2023M09;170
Reino Unido;Dato base;Gasto medio diario por persona;2023M08;180
Reino Unido;Dato base;Gasto medio diario por persona;2023M07;194
Reino Unido;Dato base;Gasto medio diario por persona;2023M06;168
Reino Unido;Dato base;Gasto medio diario por persona;2023M05;173
Reino Unido;Dato base;Gasto medio diario por persona;2023M04;159
Reino Unido;Dato base;Gasto medio diario por persona;2023M03;156
Reino Unido;Dato base;Gasto medio diario por persona;2023M02;153
Reino Unido;Dato base;Gasto medio diario por persona;2023M01;138
Reino Unido;Dato base;Duración media de los viajes;2023M12;7,94
Reino Unido;Dato base;Duración media de los viajes;2023M11;6,78
Reino Unido;Dato base;Duración media de los viajes;2023M10;6,65
Reino Unido;Dato base;Duración media de los viajes;2023M09;6,81
Reino Unido;Dato base;Duración media de los viajes;2023M08;7,41
Reino Unido;Dato base;Duración media de los viajes;2023M07;6,67
Reino Unido;Dato base;Duración media de los viajes;2023M06;6,60
Reino Unido;Dato base;Duración media de los viajes;2023M05;6,03
Reino Unido;Dato base;Duración media de los viajes;2023M04;6,25
Reino Unido;Dato base;Duración media de los viajes;2023M03;7,02
Reino Unido;Dato base;Duración media de los viajes;2023M02;7,14
Reino Unido;Dato base;Duración media de los viajes;2023M01;8,26
Reino Unido;Tasa de variación anual;Gasto total;2023M12;29,31
Reino Unido;Tasa de variación anual;Gasto total;2023M11;18,41
Reino Unido;Tasa de variación anual;Gasto total;2023M10;17,74
Reino Unido;Tasa de variación anual;Gasto total;2023M09;15,32
Reino Unido;Tasa de variación anual;Gasto total;2023M08;17,07
Reino Unido;Tasa de variación anual;Gasto total;2023M07;8,25
Reino Unido;Tasa de variación anual;Gasto total;2023M06;11,84
Reino Unido;Tasa de variación anual;Gasto total;2023M05;8,57
Reino Unido;Tasa de variación anual;Gasto total;2023M04;3,99
Reino Unido;Tasa de variación anual;Gasto total;2023M03;14,29
Reino Unido;Tasa de variación anual;Gasto total;2023M02;26,67
Reino Unido;Tasa de variación anual;Gasto total;2023M01;89,53
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M12;8,36
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M11;3,14
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M10;4,99
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M09;6,49
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M08;5,79
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M07;2,59
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M06;2,82
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M05;-0,91
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M04;-4,11
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M03;-10,85
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M02;-6,17
Reino Unido;Tasa de variación anual;Gasto medio por persona;2023M01;-6,91
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M12;9,72
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M11;9,85
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M10;8,96
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M09;7,53
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M08;11,81
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M07;11,31
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M06;6,71
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M05;8,07
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M04;9,59
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M03;7,94
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M02;14,14
Reino Unido;Tasa de variación anual;Gasto medio diario por persona;2023M01;25,74
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M12;-1,24
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M11;-6,11
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M10;-3,65
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M09;-0,96
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M08;-5,38
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M07;-7,84
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M06;-3,64
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M05;-8,31
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M04;-12,50
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M03;-17,41
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M02;-17,80
Reino Unido;Tasa de variación anual;Duración media de los viajes;2023M01;-25,96
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M12;19.905,68
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M11;18.814,21
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M10;17.746,36
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M09;15.818,47
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M08;13.572,48
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M07;10.858,85
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M06;8.276,26
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M05;6.094,05
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M04;4.202,86
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M03;2.856,51
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M02;1.697,63
Reino Unido;Acumulado en lo que va de año;Gasto total;2023M01;845,83
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M12;1.153
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M11;1.151
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M10;1.152
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M09;1.156
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M08;1.155
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M07;1.118
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M06;1.073
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M05;1.061
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M04;1.069
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M03;1.106
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M02;1.114
Reino Unido;Acumulado en lo que va de año;Gasto medio por persona;2023M01;1.140
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M12;168
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M11;170
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M10;170
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M09;170
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M08;170
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M07;168
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M06;161
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M05;158
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M04;152
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M03;149
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M02;145
Reino Unido;Acumulado en lo que va de año;Gasto medio diario por persona;2023M01;138
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M12;6,85
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M11;6,79
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M10;6,79
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M09;6,80
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M08;6,80
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M07;6,68
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M06;6,68
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M05;6,70
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M04;7,02
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M03;7,41
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M02;7,69
Reino Unido;Acumulado en lo que va de año;Duración media de los viajes;2023M01;8,26
Reino Unido;Tasa de variación acumulada;Gasto total;2023M12;16,03
Reino Unido;Tasa de variación acumulada;Gasto total;2023M11;15,35
Reino Unido;Tasa de variación acumulada;Gasto total;2023M10;15,17
Reino Unido;Tasa de variación acumulada;Gasto total;2023M09;14,86
Reino Unido;Tasa de variación acumulada;Gasto total;2023M08;14,79
Reino Unido;Tasa de variación acumulada;Gasto total;2023M07;14,23
Reino Unido;Tasa de variación acumulada;Gasto total;2023M06;16,23
Reino Unido;Tasa de variación acumulada;Gasto total;2023M05;17,89
Reino Unido;Tasa de variación acumulada;Gasto total;2023M04;22,63
Reino Unido;Tasa de variación acumulada;Gasto total;2023M03;33,94
Reino Unido;Tasa de variación acumulada;Gasto total;2023M02;51,74
Reino Unido;Tasa de variación acumulada;Gasto total;2023M01;89,53
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M12;1,65
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M11;1,29
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M10;1,18
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M09;0,73
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M08;-0,22
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M07;-1,53
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M06;-2,39
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M05;-4,21
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M04;-6,01
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M03;-8,23
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M02;-6,05
Reino Unido;Tasa de variación acumulada;Gasto medio por persona;2023M01;-6,91
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M12;9,33
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M11;9,39
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M10;9,37
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M09;9,42
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M08;9,73
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M07;9,22
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M06;8,96
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M05;9,85
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M04;11,19
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M03;12,75
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M02;17,85
Reino Unido;Tasa de variación acumulada;Gasto medio diario por persona;2023M01;25,74
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M12;-7,03
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M11;-7,41
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M10;-7,48
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M09;-7,94
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M08;-9,07
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M07;-9,84
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M06;-10,41
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M05;-12,80
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M04;-15,46
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M03;-18,61
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M02;-20,28
Reino Unido;Tasa de variación acumulada;Duración media de los viajes;2023M01;-25,96
Países Nórdicos;Dato base;Gasto total;2023M12;552,41
Países Nórdicos;Dato base;Gasto total;2023M11;635,69
Países Nórdicos;Dato base;Gasto total;2023M10;672,33
Países Nórdicos;Dato base;Gasto total;2023M09;543,17
Países Nórdicos;Dato base;Gasto total;2023M08;510,67
Países Nórdicos;Dato base;Gasto total;2023M07;963,51
Países Nórdicos;Dato base;Gasto total;2023M06;529,91
Países Nórdicos;Dato base;Gasto total;2023M05;410,14
Países Nórdicos;Dato base;Gasto total;2023M04;626,05
Países Nórdicos;Dato base;Gasto total;2023M03;581,79
Países Nórdicos;Dato base;Gasto total;2023M02;465,23
Países Nórdicos;Dato base;Gasto total;2023M01;479,74
Países Nórdicos;Dato base;Gasto medio por persona;2023M12;1.611
Países Nórdicos;Dato base;Gasto medio por persona;2023M11;1.569
Países Nórdicos;Dato base;Gasto medio por persona;2023M10;1.331
Países Nórdicos;Dato base;Gasto medio por persona;2023M09;1.340
Países Nórdicos;Dato base;Gasto medio por persona;2023M08;1.545
Países Nórdicos;Dato base;Gasto medio por persona;2023M07;1.648
Países Nórdicos;Dato base;Gasto medio por persona;2023M06;1.343
Países Nórdicos;Dato base;Gasto medio por persona;2023M05;1.214
Países Nórdicos;Dato base;Gasto medio por persona;2023M04;1.460
Países Nórdicos;Dato base;Gasto medio por persona;2023M03;1.511
Países Nórdicos;Dato base;Gasto medio por persona;2023M02;1.399
Países Nórdicos;Dato base;Gasto medio por persona;2023M01;1.398
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M12;147
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M11;163
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M10;165
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M09;180
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M08;170
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M07;175
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M06;167
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M05;151
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M04;157
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M03;159
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M02;164
Países Nórdicos;Dato base;Gasto medio diario por persona;2023M01;151
Países Nórdicos;Dato base;Duración media de los viajes;2023M12;10,96
Países Nórdicos;Dato base;Duración media de los viajes;2023M11;9,63
Países Nórdicos;Dato base;Duración media de los viajes;2023M10;8,07
Países Nórdicos;Dato base;Duración media de los viajes;2023M09;7,45
Países Nórdicos;Dato base;Duración media de los viajes;2023M08;9,11
Países Nórdicos;Dato base;Duración media de los viajes;2023M07;9,42
Países Nórdicos;Dato base;Duración media de los viajes;2023M06;8,03
Países Nórdicos;Dato base;Duración media de los viajes;2023M05;8,05
Países Nórdicos;Dato base;Duración media de los viajes;2023M04;9,28
Países Nórdicos;Dato base;Duración media de los viajes;2023M03;9,53
Países Nórdicos;Dato base;Duración media de los viajes;2023M02;8,54
Países Nórdicos;Dato base;Duración media de los viajes;2023M01;9,27
Países Nórdicos;Tasa de variación anual;Gasto total;2023M12;20,01
Países Nórdicos;Tasa de variación anual;Gasto total;2023M11;19,02
Países Nórdicos;Tasa de variación anual;Gasto total;2023M10;7,79
Países Nórdicos;Tasa de variación anual;Gasto total;2023M09;21,95
Países Nórdicos;Tasa de variación anual;Gasto total;2023M08;13,27
Países Nórdicos;Tasa de variación anual;Gasto total;2023M07;6,71
Países Nórdicos;Tasa de variación anual;Gasto total;2023M06;11,24
Países Nórdicos;Tasa de variación anual;Gasto total;2023M05;-4,10
Países Nórdicos;Tasa de variación anual;Gasto total;2023M04;16,43
Países Nórdicos;Tasa de variación anual;Gasto total;2023M03;32,33
Países Nórdicos;Tasa de variación anual;Gasto total;2023M02;33,98
Países Nórdicos;Tasa de variación anual;Gasto total;2023M01;64,73
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M12;7,83
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M11;6,84
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M10;2,90
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M09;14,89
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M08;5,75
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M07;5,51
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M06;7,96
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M05;-1,87
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M04;5,33
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M03;1,70
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M02;0,05
Países Nórdicos;Tasa de variación anual;Gasto medio por persona;2023M01;-0,19
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M12;3,83
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M11;9,13
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M10;0,39
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M09;4,84
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M08;12,28
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M07;12,24
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M06;5,10
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M05;-0,41
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M04;21,19
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M03;7,35
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M02;21,06
Países Nórdicos;Tasa de variación anual;Gasto medio diario por persona;2023M01;21,32
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M12;3,85
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M11;-2,10
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M10;2,50
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M09;9,58
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M08;-5,82
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M07;-5,99
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M06;2,72
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M05;-1,47
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M04;-13,08
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M03;-5,27
Países Nórdicos;Tasa de variación anual;Duración media de los viajes;2023M02;-17,35
